location,date,time,text
9,04/09/2016,13:45:18, 
9,06/09/2016,13:02:05,Sleapy 
9,06/09/2016,17:55:54,Very happy
9,07/09/2016,13:53:39,(We are all alone)
9,10/09/2016,10:38:30,happy
9,10/09/2016,11:10:36,I'm here with my good old Girl friend and we are feeling SO good in the Sun 
9,11/09/2016,08:46:11,Good
9,11/09/2016,10:35:52, 
9,11/09/2016,14:19:24,Ret godt
9,14/09/2016,09:40:00, 
9,15/09/2016,17:38:44, 
9,15/09/2016,17:39:22, 
9,16/09/2016,12:42:59,Nice 
9,17/09/2016,09:24:22, 
9,17/09/2016,10:45:21,Happy
9,17/09/2016,12:14:26,Good
9,17/09/2016,14:45:51,Good 
9,17/09/2016,14:47:29,Good 
9,17/09/2016,14:51:20,Fine
9,17/09/2016,16:00:40,Comfortable
9,18/09/2016,10:34:03,Happy
9,18/09/2016,12:01:05,Good
9,18/09/2016,14:16:02, 
9,18/09/2016,14:16:47,Nervous😳
9,21/09/2016,06:54:25, 
9,21/09/2016,15:17:08,Great
9,22/09/2016,08:25:24,Dele fine 😊
9,22/09/2016,12:23:15,Very well
9,23/09/2016,17:24:27,Satisfied and happy
9,24/09/2016,12:07:37,I would like to interact with them
9,24/09/2016,13:33:00,Good
9,25/09/2016,10:07:04,Knivmusling
9,25/09/2016,11:38:51,Normally quite comfortable 
9,25/09/2016,13:09:12, 
9,25/09/2016,13:09:33, 
9,25/09/2016,13:09:34, 
9,01/10/2016,08:56:29,Good
9,01/10/2016,09:23:49,Glad
9,01/10/2016,10:12:57,Curious 
9,01/10/2016,12:09:21,Hapoy
9,01/10/2016,12:15:09,Curious 
9,01/10/2016,14:26:24,Curious 
10,31/08/2016,14:02:12,Not good
10,31/08/2016,15:13:34,Happy
10,01/09/2016,06:09:03,Frygt
10,01/09/2016,09:18:17,"lonely, I came by myself"
10,01/09/2016,15:32:43,Happy and sad
10,03/09/2016,09:31:25,good
10,03/09/2016,12:10:40,Good
10,03/09/2016,13:07:17,Happy and relaxing
10,03/09/2016,13:09:07,Good
10,03/09/2016,14:11:46,Happy
10,04/09/2016,13:03:39,Nice
10,04/09/2016,13:44:44, 
10,04/09/2016,13:45:18, 
10,06/09/2016,13:02:05,Sleapy 
10,06/09/2016,17:55:54,Very happy
10,07/09/2016,13:53:39,(We are all alone)
10,10/09/2016,10:38:30,happy
10,10/09/2016,11:10:36,I'm here with my good old Girl friend and we are feeling SO good in the Sun 
10,11/09/2016,08:46:11,Good
10,11/09/2016,10:35:52, 
10,11/09/2016,14:19:24,Ret godt
10,14/09/2016,09:40:00, 
10,15/09/2016,17:38:44, 
10,15/09/2016,17:39:22, 
10,16/09/2016,12:42:59,Nice 
10,17/09/2016,09:24:22, 
10,17/09/2016,10:45:21,Happy
10,17/09/2016,12:14:26,Good
10,17/09/2016,14:45:51,Good 
10,17/09/2016,14:47:29,Good 
10,17/09/2016,14:51:20,Fine
10,17/09/2016,16:00:40,Comfortable
10,18/09/2016,10:34:03,Happy
10,18/09/2016,12:01:05,Good
10,18/09/2016,14:16:02, 
10,18/09/2016,14:16:47,Nervous😳
10,21/09/2016,06:54:25, 
10,21/09/2016,15:17:08,Great
10,22/09/2016,08:25:24,Dele fine 😊
10,22/09/2016,12:23:15,Very well
10,23/09/2016,17:24:27,Satisfied and happy
10,24/09/2016,12:07:37,I would like to interact with them
10,24/09/2016,13:33:00,Good
10,25/09/2016,10:07:04,Knivmusling
10,25/09/2016,11:38:51,Normally quite comfortable 
10,25/09/2016,13:09:12, 
10,25/09/2016,13:09:33, 
10,25/09/2016,13:09:34, 
10,01/10/2016,08:56:29,Good
10,01/10/2016,09:23:49,Glad
10,01/10/2016,10:12:57,Curious 
10,01/10/2016,12:09:21,Hapoy
10,01/10/2016,12:15:09,Curious 
10,01/10/2016,14:26:24,Curious 
